temp,top,bottom,outer,shoes
-20,"누빔 옷, 니트, 히트텍",기모 바지,패딩,부츠
-19,"누빔 옷, 니트, 히트텍",기모 바지,패딩,부츠
-18,"누빔 옷, 니트, 히트텍",기모 바지,패딩,부츠
-17,"누빔 옷, 니트, 히트텍",기모 바지,패딩,부츠
-16,"누빔 옷, 니트, 히트텍",기모 바지,패딩,부츠
-15,"누빔 옷, 니트, 히트텍",기모 바지,패딩,부츠
-14,"누빔 옷, 니트, 히트텍",기모 바지,패딩,부츠
-13,"누빔 옷, 니트, 히트텍",기모 바지,패딩,부츠
-12,"누빔 옷, 니트, 히트텍",기모 바지,패딩,부츠
-11,"누빔 옷, 니트, 히트텍",기모 바지,패딩,부츠
-10,"누빔 옷, 니트, 히트텍",기모 바지,"코트, 패딩","부츠, 운동화"
-9,"누빔 옷, 니트, 히트텍",기모 바지,"코트, 패딩","부츠, 운동화"
-8,"누빔 옷, 니트, 히트텍",기모 바지,"코트, 패딩","부츠, 운동화"
-7,"누빔 옷, 니트, 히트텍",기모 바지,"코트, 패딩","부츠, 운동화"
-6,"누빔 옷, 니트, 히트텍",기모 바지,"코트, 패딩","부츠, 운동화"
-5,"누빔 옷, 니트, 히트텍",기모 바지,"코트, 패딩","부츠, 운동화"
-4,"누빔 옷, 니트, 히트텍",기모 바지,"코트, 패딩","부츠, 운동화"
-3,"누빔 옷, 니트, 히트텍",기모 바지,"코트, 패딩","부츠, 운동화"
-2,"누빔 옷, 니트, 히트텍",기모 바지,"코트, 패딩","부츠, 운동화"
-1,"누빔 옷, 니트, 히트텍",기모 바지,"코트, 패딩","부츠, 운동화"
0,"누빔 옷, 니트, 히트텍",기모 바지,"코트, 패딩","부츠, 운동화"
1,"누빔 옷, 니트, 히트텍",기모 바지,"코트, 패딩","부츠, 운동화"
2,"누빔 옷, 니트, 히트텍",기모 바지,"코트, 패딩","부츠, 운동화"
3,"누빔 옷, 니트, 히트텍",기모 바지,"코트, 패딩","부츠, 운동화"
4,"가죽 옷, 히트텍","기모 바지, 면바지",코트,"부츠, 운동화"
5,"가죽 옷, 히트텍","기모 바지, 면바지",코트,"부츠, 운동화"
6,"가죽 옷, 히트텍","기모 바지, 면바지",코트,"부츠, 운동화"
7,"가죽 옷, 히트텍","기모 바지, 면바지",코트,"부츠, 운동화"
8,"가죽 옷, 히트텍","기모 바지, 면바지",코트,"부츠, 운동화"
9,"니트, 맨투맨, 후드",면바지,"점퍼, 코트","구두, 운동화"
10,"니트, 맨투맨, 후드",면바지,"점퍼, 코트","구두, 운동화"
11,"니트, 맨투맨, 후드",면바지,"점퍼, 코트","구두, 운동화"
12,"니트, 맨투맨, 후드",면바지,"자켓, 가디건","구두, 운동화"
13,"니트, 맨투맨, 후드",면바지,"자켓, 가디건","구두, 운동화"
14,"니트, 맨투맨, 후드",면바지,"자켓, 가디건","구두, 운동화"
15,"니트, 맨투맨, 후드",면바지,"자켓, 가디건","구두, 운동화"
16,"니트, 맨투맨, 후드",면바지,"자켓, 가디건","구두, 운동화"
17,"니트, 맨투맨, 후드","면바지, 슬랙스",가디건,"구두, 운동화"
18,"니트, 맨투맨, 후드","면바지, 슬랙스",가디건,"구두, 운동화"
19,"니트, 맨투맨, 후드","면바지, 슬랙스",가디건,"구두, 운동화"
20,"블라우스, 티셔츠","면바지, 슬랙스",가디건,운동화
21,"블라우스, 티셔츠","면바지, 슬랙스",가디건,운동화
22,"블라우스, 티셔츠","면바지, 슬랙스",가디건,운동화
23,"반팔티, 셔츠","면바지, 반바지",,"샌들, 운동화"
24,"반팔티, 셔츠","면바지, 반바지",,"샌들, 운동화"
25,"반팔티, 셔츠","면바지, 반바지",,"샌들, 운동화"
26,"반팔티, 셔츠","면바지, 반바지",,"샌들, 운동화"
27,"반팔티, 셔츠","면바지, 반바지",,"샌들, 운동화"
28,"민소매, 반팔티","반바지, 치마",,"샌들, 운동화"
29,"민소매, 반팔티","반바지, 치마",,"샌들, 운동화"
30,"민소매, 반팔티","반바지, 치마",,"샌들, 운동화"
31,"민소매, 반팔티","반바지, 치마",,"샌들, 운동화"
32,"민소매, 반팔티","반바지, 치마",,"샌들, 운동화"
33,"민소매, 반팔티","반바지, 치마",,"샌들, 운동화"
34,"민소매, 반팔티","반바지, 치마",,"샌들, 운동화"
35,"민소매, 반팔티","반바지, 치마",,샌들
36,"민소매, 반팔티","반바지, 치마",,샌들
37,"민소매, 반팔티","반바지, 치마",,샌들
38,"민소매, 반팔티","반바지, 치마",,샌들
39,"민소매, 반팔티","반바지, 치마",,샌들
40,"민소매, 반팔티","반바지, 치마",,샌들
